Configuration,Dataset,Precision,Recall,F1,Accuracy,Latency_us
Regex Baseline,HR 20K,1.0,0.5,0.6667,0.8125,1.27
Regex Baseline,Healthcare 50K,1.0,0.375,0.5455,0.6154,1.28
Regex Baseline,Banking 100K,1.0,0.3333,0.5,0.6364,1.22
Regex Baseline,Adversarial 20K,1.0,0.311,0.4744,0.4989,1.25
Regex Baseline,Scalability 1M,1.0,0.4,0.5714,0.5714,1.22
ML Detector Only,HR 20K,0.471,0.9982,0.64,0.5788,6.34
ML Detector Only,Healthcare 50K,0.6186,0.8329,0.71,0.5812,9.99
ML Detector Only,Banking 100K,0.5578,0.9831,0.7118,0.5657,6.87
ML Detector Only,Adversarial 20K,0.8404,0.9093,0.8735,0.8085,7.73
ML Detector Only,Scalability 1M,0.7345,0.971,0.8363,0.7286,9.35
ML + Risk Scoring,HR 20K,0.4979,0.9998,0.6647,0.6218,15.41
ML + Risk Scoring,Healthcare 50K,0.6432,0.9256,0.759,0.6382,18.97
ML + Risk Scoring,Banking 100K,0.5743,0.9988,0.7293,0.5956,16.19
ML + Risk Scoring,Adversarial 20K,0.8505,0.876,0.8631,0.7979,17.42
ML + Risk Scoring,Scalability 1M,0.722,0.9985,0.8381,0.7244,20.59
ML + Risk + Token,HR 20K,0.4979,0.9998,0.6647,0.6218,33.72
ML + Risk + Token,Healthcare 50K,0.6432,0.9256,0.759,0.6382,40.16
ML + Risk + Token,Banking 100K,0.5743,0.9988,0.7293,0.5956,37.68
ML + Risk + Token,Adversarial 20K,0.8505,0.876,0.8631,0.7979,35.84
ML + Risk + Token,Scalability 1M,0.722,0.9985,0.8381,0.7244,43.34
Full QuantEdge,HR 20K,0.4979,0.9998,0.6647,0.6218,30607.64
Full QuantEdge,Healthcare 50K,0.6432,0.9256,0.759,0.6382,36792.13
Full QuantEdge,Banking 100K,0.5743,0.9988,0.7293,0.5956,38960.74
Full QuantEdge,Adversarial 20K,0.8505,0.876,0.8631,0.7979,30815.87
Full QuantEdge,Scalability 1M,0.722,0.9985,0.8381,0.7244,40190.44
