Dataset,Method,Samples,TP,FP,TN,FN,Precision,Recall,F1,Accuracy,AUC
HR 20K,Regex,320000,60717,40000,160000,59283,0.6028,0.506,0.5502,0.6897,0.653
HR 20K,ML-Only,320000,119799,134385,65615,201,0.4713,0.9983,0.6403,0.5794,0.8052
HR 20K,Full QuantEdge,320000,120000,134385,65615,0,0.4717,1.0,0.6411,0.58,0.734
Healthcare 50K,Regex,650000,150034,50000,200000,249966,0.75,0.3751,0.5001,0.5385,0.5875
Healthcare 50K,ML-Only,650000,333408,205114,44886,66592,0.6191,0.8335,0.7105,0.582,0.6559
Healthcare 50K,Full QuantEdge,650000,338723,205114,44886,61277,0.6228,0.8468,0.7178,0.5902,0.6438
Banking 100K,Regex,549998,104031,52832,197166,195969,0.6632,0.3468,0.4554,0.5476,0.5677
Banking 100K,ML-Only,549998,295168,233175,16823,4832,0.5587,0.9839,0.7127,0.5673,0.7611
Banking 100K,Full QuantEdge,549998,300000,233175,16823,0,0.5627,1.0,0.7201,0.576,0.6989
Adversarial 20K,Regex,220000,50000,20000,40000,110000,0.7143,0.3125,0.4348,0.4091,0.4896
Adversarial 20K,ML-Only,220000,145158,27513,32487,14842,0.8407,0.9072,0.8727,0.8075,0.8244
Adversarial 20K,Full QuantEdge,220000,146262,27513,32487,13738,0.8417,0.9141,0.8764,0.8125,0.7017
Scalability 1M,Regex,350000,100509,2680,97320,149491,0.974,0.402,0.5692,0.5652,0.6876
Scalability 1M,ML-Only,350000,243177,88665,11335,6823,0.7328,0.9727,0.8359,0.7272,0.6801
Scalability 1M,Full QuantEdge,350000,250000,88665,11335,0,0.7382,1.0,0.8494,0.7467,0.7575
